ags,land_total,land_settlement,land_traffic,veg_agri,veg_forrest,veg_wood,veg_heath,veg_moor,veg_marsh,veg_plant_uncover_com,water_total,settlement_ghd
DG000000,35758168.0,3298599.0,1804639.0,18217779.0,10637955.0,391613.0,64668.0,81335.0,37251.0,402820.0,821509.0,382347.0
01000000,1580428.0,141375.0,68965.0,1086733.0,162294.0,5529.0,2209.0,8874.0,4211.0,23733.0,76504.0,11028.0
01001000,5673.0,2210.0,785.0,1322.0,356.0,6.0,118.0,4.0,6.0,48.0,818.0,303.0
01002000,11865.0,4736.0,1715.0,3463.0,613.0,74.0,2.0,34.0,41.0,96.0,1090.0,502.0
01003000,21419.0,6018.0,1999.0,6639.0,3138.0,163.0,35.0,2.0,175.0,334.0,2916.0,942.0
01004000,7166.0,2904.0,729.0,2797.0,307.0,14.0,2.0,192.0,12.0,23.0,185.0,325.0
01051000,142817.0,10253.0,5696.0,108001.0,5192.0,182.0,93.0,431.0,288.0,5910.0,6772.0,999.0
01051001,1712.0,239.0,98.0,1074.0,252.0,0.0,0.0,,,30.0,18.0,9.0
01051002,692.0,28.0,37.0,446.0,171.0,0.0,,,,7.0,3.0,
01051003,906.0,46.0,18.0,675.0,37.0,0.0,,,41.0,19.0,70.0,1.0
01051004,1190.0,85.0,46.0,965.0,59.0,1.0,0.0,9.0,,13.0,11.0,13.0
01051005,511.0,21.0,13.0,417.0,4.0,,,,,45.0,11.0,0.0
01051006,2288.0,89.0,60.0,1739.0,91.0,,,,,253.0,57.0,1.0
01051008,264.0,7.0,5.0,215.0,3.0,,,,,5.0,29.0,
01051010,607.0,25.0,42.0,461.0,58.0,5.0,,,2.0,6.0,10.0,1.0
01051011,6521.0,1065.0,369.0,2969.0,7.0,37.0,,,,157.0,1915.0,420.0
01051012,1456.0,87.0,54.0,1125.0,90.0,0.0,,,,41.0,59.0,0.0
01051013,848.0,256.0,82.0,427.0,1.0,2.0,,,,22.0,59.0,20.0
01051014,287.0,24.0,14.0,242.0,2.0,0.0,,,,0.0,6.0,
01051015,1175.0,110.0,44.0,781.0,196.0,1.0,,,,12.0,31.0,0.0
01051016,1125.0,190.0,69.0,622.0,59.0,0.0,,,,90.0,94.0,8.0
01051017,1009.0,34.0,26.0,644.0,,,,,,290.0,14.0,2.0
01051019,2177.0,71.0,60.0,1687.0,17.0,0.0,,163.0,,109.0,69.0,0.0
01051020,1584.0,60.0,49.0,1191.0,4.0,0.0,,,,147.0,133.0,2.0
01051021,746.0,49.0,28.0,654.0,1.0,0.0,,,,0.0,15.0,0.0
01051022,701.0,54.0,24.0,571.0,33.0,,4.0,,,4.0,11.0,1.0
01051023,782.0,50.0,31.0,545.0,10.0,,,,,136.0,11.0,0.0
01051024,921.0,98.0,33.0,764.0,6.0,1.0,,,,6.0,13.0,5.0
01051026,1279.0,65.0,44.0,1097.0,30.0,1.0,1.0,,,17.0,24.0,1.0
01051027,3017.0,93.0,79.0,1775.0,42.0,0.0,10.0,,,783.0,235.0,2.0
01051028,1352.0,59.0,51.0,1195.0,2.0,0.0,,,,15.0,29.0,1.0
01051030,969.0,30.0,31.0,827.0,13.0,8.0,1.0,24.0,0.0,18.0,18.0,2.0
01051032,1033.0,39.0,33.0,838.0,99.0,,,,,13.0,11.0,1.0
01051033,862.0,47.0,22.0,744.0,1.0,,,,,10.0,38.0,
01051034,5327.0,296.0,157.0,3954.0,2.0,0.0,,,,810.0,107.0,13.0
01051035,645.0,18.0,21.0,475.0,54.0,1.0,,1.0,,70.0,6.0,1.0
01051036,469.0,30.0,19.0,375.0,21.0,,,0.0,4.0,11.0,8.0,9.0
01051037,1040.0,45.0,41.0,769.0,150.0,15.0,,,0.0,8.0,12.0,
01051038,790.0,26.0,22.0,698.0,0.0,,,,,2.0,42.0,1.0
01051039,604.0,48.0,24.0,415.0,109.0,1.0,,,,1.0,6.0,8.0
01051040,,,,,,,,,,,,
01051043,1636.0,38.0,44.0,1403.0,1.0,14.0,,,,96.0,39.0,0.0
01051044,3197.0,833.0,275.0,1709.0,177.0,20.0,,65.0,,24.0,94.0,50.0
01051045,702.0,25.0,19.0,635.0,0.0,,,,,3.0,19.0,
01051046,1144.0,76.0,44.0,985.0,11.0,0.0,,,,3.0,24.0,1.0
01051047,1653.0,71.0,79.0,1453.0,1.0,,,17.0,,0.0,32.0,0.0
01051048,1601.0,247.0,99.0,1173.0,4.0,0.0,,,4.0,53.0,20.0,82.0
01051049,2193.0,253.0,74.0,1611.0,42.0,0.0,,1.0,2.0,92.0,119.0,14.0
01051050,360.0,14.0,12.0,327.0,,,,,,,7.0,0.0
01051051,546.0,78.0,34.0,297.0,53.0,1.0,,,,36.0,48.0,2.0
01051052,294.0,17.0,11.0,238.0,8.0,,,,,9.0,10.0,
01051053,974.0,30.0,30.0,767.0,34.0,0.0,,,,92.0,22.0,
01051054,309.0,14.0,12.0,278.0,1.0,,2.0,,,1.0,1.0,
01051057,1305.0,57.0,30.0,1025.0,0.0,,,,,168.0,25.0,4.0
01051058,1755.0,32.0,40.0,1191.0,1.0,,,,,6.0,485.0,3.0
01051060,1281.0,43.0,30.0,1067.0,13.0,0.0,,,24.0,20.0,83.0,0.0
01051061,482.0,36.0,17.0,357.0,9.0,0.0,,,,56.0,7.0,2.0
01051062,2884.0,116.0,78.0,2380.0,1.0,0.0,,,,267.0,43.0,2.0
01051063,1589.0,64.0,55.0,1196.0,200.0,0.0,13.0,,,41.0,20.0,0.0
01051064,1137.0,54.0,45.0,854.0,80.0,10.0,,,11.0,30.0,53.0,
01051065,1863.0,89.0,46.0,1600.0,2.0,,,,1.0,10.0,115.0,0.0
01051067,466.0,105.0,16.0,325.0,6.0,1.0,,,,4.0,9.0,75.0
01051068,1162.0,74.0,44.0,971.0,33.0,,,3.0,0.0,26.0,11.0,1.0
01051069,539.0,98.0,45.0,368.0,8.0,2.0,,,,9.0,9.0,11.0
01051071,465.0,77.0,26.0,280.0,35.0,,,,22.0,15.0,11.0,7.0
01051072,483.0,248.0,52.0,175.0,,,,,,1.0,7.0,31.0
01051073,131.0,20.0,5.0,102.0,,,,,,1.0,3.0,1.0
01051074,2126.0,373.0,122.0,1351.0,8.0,2.0,,,,93.0,177.0,46.0
01051075,2514.0,94.0,90.0,2258.0,1.0,3.0,,,,18.0,49.0,5.0
01051076,1040.0,56.0,39.0,928.0,0.0,0.0,,,,1.0,16.0,0.0
01051077,977.0,25.0,25.0,883.0,,,,,,8.0,36.0,
01051078,875.0,97.0,39.0,685.0,31.0,3.0,,,,8.0,13.0,7.0
01051079,690.0,34.0,28.0,616.0,,0.0,,,,1.0,11.0,0.0
