ags,rt7,rt3
01001000,75,smcty
01002000,72,city
01003000,72,city
01004000,75,smcty
01051001,77,rural
01051002,77,rural
01051003,77,rural
01051004,77,rural
01051005,77,rural
01051006,77,rural
01051008,77,rural
01051010,77,rural
01051011,76,rural
01051012,77,rural
01051013,77,rural
01051014,77,rural
01051015,77,rural
01051016,77,rural
01051017,77,rural
01051019,77,rural
01051020,77,rural
01051021,77,rural
01051022,77,rural
01051023,77,rural
01051024,77,rural
01051026,77,rural
01051027,77,rural
01051028,77,rural
01051030,77,rural
01051032,77,rural
01051033,77,rural
01051034,77,rural
01051035,77,rural
01051036,77,rural
01051037,77,rural
01051038,77,rural
01051039,77,rural
01051043,77,rural
01051044,76,rural
01051045,77,rural
01051046,77,rural
01051047,77,rural
01051048,77,rural
01051049,77,rural
01051050,77,rural
01051051,77,rural
01051052,77,rural
01051053,77,rural
01051054,77,rural
01051057,77,rural
01051058,77,rural
01051060,77,rural
01051061,77,rural
01051062,77,rural
01051063,77,rural
01051064,77,rural
01051065,77,rural
01051067,77,rural
01051068,77,rural
01051069,77,rural
01051071,77,rural
01051072,77,rural
01051073,77,rural
01051074,77,rural
01051075,77,rural
01051076,77,rural
01051077,77,rural
01051078,77,rural
01051079,77,rural
01051080,77,rural
01051081,77,rural
01051082,77,rural
01051083,77,rural
01051084,77,rural
01051085,77,rural
01051086,77,rural
01051087,77,rural
01051088,77,rural
01051089,77,rural
01051090,77,rural
01051092,77,rural
01051093,77,rural
01051096,77,rural
01051097,77,rural
01051098,77,rural
01051099,77,rural
01051100,77,rural
01051102,77,rural
01051103,77,rural
01051104,77,rural
01051105,77,rural
01051107,77,rural
01051108,77,rural
01051109,77,rural
01051110,77,rural
01051113,77,rural
01051114,77,rural
01051117,77,rural
01051118,77,rural
01051119,77,rural
01051120,77,rural
01051121,77,rural
01051122,77,rural
01051125,77,rural
01051126,77,rural
01051127,77,rural
01051128,77,rural
01051129,77,rural
01051130,77,rural
01051131,77,rural
01051132,77,rural
01051133,77,rural
01051134,77,rural
01051135,77,rural
