label,group,description,value,unit,rationale,reference,link
Ass_H_ratio_municipal_non_res_buildings_to_all_non_res_buildings_2050,ud,kommunale NWG (Nichtwohngebäude) Anteil and Gesamten NWG,0.20606060606060606,,"Wir nehmen an, dass aus den aufgeführten NWG Klassen (Gastgewerbe, Bildung, Bürogebäude, Gesundheit, Handel, Gewerbe, sonstige) Bildung und sonstige zu kommunalen NWGs zählen. Allerdings wird weiter unten auf der Seite erwähnt, dass inklusive der industriel genutzten Flächen die Gesamtfläche nicht 1350 mio m^2 sondern 1650 mio m^2.",Dena Report S. 157,https://www.dena.de/fileadmin/user_upload/8162_dena-Gebaeudereport.pdf
Ass_R_B_P_roof_area_fraction_solar_thermal,ui (Entry),Nutzungsanteil des solaren Dachflächenpotentials für Solarthermie,0.05,,Der größte Anteil soll für PV sein; Solarthermie hat hohe Investitionskosten,,
Ass_R_P_soltherm_specific_yield_per_sqm,ud,Spezifischer Energieertrag Solarthermie (kWh pro qm Kollektorfläche pro Jahr),0.525,MWh/(qm*a),Mittelwert aus den Angaben in solarthermie-info.de,,http://solarthermie-info.de/fakten-kennzahlen/kollektorertag-kollektorleistung/#ertraege
Ass_R_P_soltherm_cost_per_sqm,ud,Kosten Solarthermieanlage pro qm Kollektorfläche,1500.0,€/qm,"Mittelwert Preise für Röhrenkollektoren, Speicher usw. mit Installation ",,https://www.energie-experten.org/heizung/solarthermie/wirtschaftlichkeit/kosten
Ass_R_B_P_renovation_rate,ui (Entry),Sanierungsrate Gebäude pro Jahr,0.04,,,"GermanZero (2021): „Maßnahmen für ein 1,5-Grad-Gesetzespaket"", S. 313",https://www.germanzero.de/media/pages/assets/fcd6e7bfe9-1631206649/GermanZero_Massnahmenkatalog_210907.pdf
Ass_R_P_heat_consumption_after_renovation_per_area,ud,Wärmebedarf in MWh/qm nach Sanierung GreenSupreme,0.0309,MWh/(qm*a),"Report GreenSupreme, Wert für 2040","Endbericht RESCUE-Studie: GreenSupreme, S. 60",https://www.umweltbundesamt.de/sites/default/files/medien/5750/publikationen/2020_12_28_cc_05-2020_endbericht_greensupreme.pdf
Ass_R_P_heat_consumption_after_renovation_per_area_KfW40,ud,Wärmebedarf in MWh/qm nach Sanierung KfW40,0.035,MWh/(qm*a),"KfW40-Standard. Berechnet anhand Abbildung 8: Entwicklung des Endenergiebedarfs bis 2050, dargestellt anhand der heutigen Förderstrukturen 
der KfW-Programme („Efzienzhäuser“), wo Effizienzhaus 85 (100%) für 65 kWh/m2*a steht und dementsprechend Effizienzhaus 40 (55%) für 35 kWh/m2*a.","bmwi 2014 Sanierungsbedarf im 
Gebäudebestand S. 11",https://www.bmwi.de/Redaktion/DE/Publikationen/Energie/sanierungsbedarf-im-gebaeudebestand.pdf?__blob=publicationFile&v=3
Ass_R_P_heat_consumption_new_building_2021,ud,Wärmebedarf in MWh/qm Neubau (ab 2021),0.035,MWh/(qm*a),"KfW40-Standard. Berechnet anhand Abbildung 8: Entwicklung des Endenergiebedarfs bis 2050, dargestellt anhand der heutigen Förderstrukturen 
der KfW-Programme („Efzienzhäuser“), wo Effizienzhaus 85 (100%) für 65 kWh/m2*a steht und dementsprechend Effizienzhaus 40 (55%) für 35 kWh/m2*a.","bmwi 2014 Sanierungsbedarf im 
Gebäudebestand S. 11",https://www.bmwi.de/Redaktion/DE/Publikationen/Energie/sanierungsbedarf-im-gebaeudebestand.pdf?__blob=publicationFile&v=3
Ass_R_S_heating_power_renovated,ud,Spezifische Heizungsleistung für sanierte Gebäude,50.0,W/qm,,"""Ersatz einer Erdwärmepumpe: Merkblatt mit den wichtigsten Punkten"", S. 8, Tabelle 3",https://www.geotherm.ch/de/downloads.html?file=files/geotherm/pdf/Merkblatt_Ersatz_Erdwaermepumpe.pdf&cid=9454
Ass_R_S_gas_energy_cost_factor_2035,ud,Energiekostenfaktor Bereitstellung Erdgas [€/MWh] 2035,85.1,,Gas-Preise Endverbraucher Deutschland (Preisprognose - Durchschnittspreis 2035),Eigene Berechnungen nach Bund der Energieverbraucher,http://https://germanzero.sharepoint.com/:x:/r/_layouts/15/Doc.aspx?sourcedoc=%7B808580B4-4D10-4FC8-BEAA-C953862D4F31%7D&file=Bund%20der%20EnergieverbraucherBrennstoff-Preisentwicklung%20in%20Deutschland_04.03.2020.xlsx&action=default&mobilereindirect=true
