ags,buildings_total,buildings_until_1919,buildings_1919_1948,buildings_1949_1978,buildings_1979_1986,buildings_1987_1990,buildings_1991_1995,buildings_1996_2000,buildings_2001_2004,buildings_2005_2008,buildings_2009_2011,buildings_heatnet,flats_total,flats_until_1919,flats_1919_1948,flats_1949_1978,flats_1979_1986,flats_1987_1990,flats_1991_1995,flats_1996_2000,flats_2001_2004,flats_2005_2008,flats_2009_today,flats_heatnet
DG000000,18922618,2655042,2307543,7188157,1828250,736588,1153484,1434704,790074,594658,234118,1020473,40545317,5682343,4374245,17408521,3865356,1434777,2578278,2711155,1187498,916695,386449,5006685
01000000,804640,98037,78446,333688,82861,28843,45952,64544,35327,26462,10480,82759,1417948,185103,130717,647425,129945,41734,82288,102295,46446,35882,16113,240506
01001000,16787,2350,1965,7014,1492,411,649,1185,754,670,297,15327,48026,10526,4660,21765,3647,716,1715,2142,1252,1059,544,43511
01002000,36992,3958,8619,15029,3358,1320,1213,1186,1018,838,453,10337,132112,24249,23976,61202,8137,2451,3848,4380,1680,1437,752,66246
01003000,43694,8119,7367,18320,2374,1172,1435,1858,1182,1311,556,3783,115006,20402,14872,55051,5882,2552,4660,5284,2688,2440,1175,21391
01004000,19191,1475,2858,9757,1629,452,910,1086,571,331,122,5216,41111,4353,5802,21072,3097,707,2305,2152,822,491,310,16537
01051000,50920,8905,5634,20895,4784,1232,2533,3947,1660,999,331,1858,68318,12074,7222,28395,6313,1632,3757,5227,1974,1271,453,2660
01051011,4144,582,391,1755,587,105,195,287,151,73,18,230,6594,968,517,2922,921,197,385,424,169,73,18,315
01051044,6527,798,847,3283,523,147,218,389,190,88,44,182,11100,1334,1284,5742,713,191,520,789,266,185,76,361
01051003,259,85,55,65,21,3,0,12,7,7,4,13,297,94,59,74,21,3,13,12,10,7,4,16
01051010,80,10,29,19,0,0,3,15,4,0,0,0,99,19,33,25,0,0,3,15,4,0,0,0
01051012,382,75,44,117,42,7,29,48,4,13,3,0,454,105,50,133,48,7,43,48,4,13,3,0
01051016,1577,268,206,651,133,19,80,131,58,25,6,31,2176,377,260,856,206,31,159,165,79,37,6,31
01051022,270,46,27,92,45,0,12,35,7,6,0,3,277,50,27,92,48,0,12,35,7,6,0,3
01051024,557,185,63,150,49,0,23,40,22,21,4,10,648,226,66,169,65,0,32,43,22,21,4,16
01051026,307,96,44,98,3,9,16,32,3,3,3,6,351,106,53,114,9,9,19,32,3,3,3,6
01051032,153,37,31,50,15,0,0,11,9,0,0,3,178,50,31,56,15,3,3,11,9,0,0,3
01051037,200,53,25,50,6,3,21,12,23,7,0,8,233,53,40,59,12,3,21,12,26,7,0,8
01051051,471,104,38,195,38,9,11,45,13,11,7,13,519,117,57,198,38,9,11,51,20,11,7,13
01051064,253,72,27,80,31,10,6,9,18,0,0,6,298,78,36,110,31,10,6,9,18,0,0,6
01051089,82,15,12,18,12,3,3,13,0,3,3,3,85,15,12,21,12,3,3,13,0,3,3,3
01051097,1350,201,142,636,147,50,55,78,24,10,7,26,1634,255,183,742,177,50,83,88,24,25,7,26
01051110,305,84,29,96,22,10,19,29,10,6,0,0,341,102,36,103,22,10,19,33,10,6,0,0
