year;CH4_limit_per_year;CH4_budget_2016_to_year;N2O_limit_per_year;N2O_budget_2016_to_year;Fgases_limit_per_year;Fgases_budget_2016_to_year;nonCO2_limit_per_year;nonCO2_budget_2016_to_year;GHG_budget_2016_to_year
2015;56953000;;39850000;;15126000;;111929000;;
2016;55617680.53;55617680.53;39062043.47;39062043.47;14953370.92;14953370.92;109633094.9;109633094.9;6446084816
2017;54282361.06;109900041.6;38274086.93;77336130.4;14780741.84;29734112.77;107337189.8;216970284.8;6553422006
2018;52947041.59;162847083.2;37486130.4;114822260.8;14608112.77;44342225.53;105041284.8;322011569.5;6658463290
2019;51611722.13;214458805.3;36698173.86;151520434.7;14435483.69;58777709.22;102745379.7;424756949.2;6761208670
2020;50276402.66;264735208;35910217.33;187430652;14262854.61;73040563.83;100449474.6;525206423.8;6861658145
2021;47574623.98;312309832;34776858.92;222207510.9;12990120.71;86030684.54;95341603.61;620548027.4;6956999748
2022;44872845.31;357182677.3;33643500.5;255851011.4;11717386.82;97748071.35;90233732.63;710781760;7047233481
2023;42171066.64;399353743.9;32510142.09;288361153.5;10444652.92;108192724.3;85125861.65;795907621.7;7132359343
2024;39469287.97;438823031.9;31376783.68;319737937.2;9171919.02;117364643.3;80017990.66;875925612.3;7212377333
2025;36767509.29;475590541.2;30243425.26;349981362.4;7899185.13;125263828.4;74910119.68;950835732;7287287453
2026;35716112.26;511306653.4;29851638.39;379833000.8;7240994.57;132504823;72808745.23;1023644477;7360096198
2027;34664715.23;545971368.7;29459851.52;409292852.4;6582804.02;139087627;70707370.77;1094351848;7430803569
2028;33613318.2;579584686.9;29068064.65;438360917;5924613.47;145012240.5;68605996.32;1162957844;7499409565
2029;32561921.17;612146608;28676277.78;467037194.8;5266422.92;150278663.4;66504621.86;1229462466;7565914187
2030;31510524.14;643657132.2;28284490.91;495321685.7;4608232.36;154886895.8;64403247.41;1293865714;7630317434
2031;30511388.2;674168520.4;27751264;523072949.7;4194350.19;159081246;62457002.39;1356322716;7692774437
2032;29512252.27;703680772.6;27218037.09;550290986.8;3780468.01;162861714;60510757.37;1416833473;7753285194
2033;28513116.34;732193889;26684810.19;576975797;3366585.83;166228299.8;58564512.36;1475397986;7811849707
2034;27513980.4;759707869.4;26151583.28;603127380.2;2952703.66;169181003.5;56618267.34;1532016253;7868467974
2035;26514844.47;786222713.8;25618356.38;628745736.6;2538821.48;171719824.9;54672022.33;1586688275;7923139996
2036;26387762.62;812610476.5;25656827.75;654402564.4;2502536.71;174222361.7;54547127.08;1641235402;7977687123
2037;26260680.77;838871157.2;25695299.12;680097863.5;2466251.95;176688613.6;54422231.84;1695657634;8032109355
2038;26133598.92;865004756.2;25733770.49;705831634;2429967.18;179118580.8;54297336.6;1749954971;8086406692
2039;26006517.08;891011273.2;25772241.86;731603875.8;2393682.41;181512263.2;54172441.35;1804127412;8140579133
2040;25879435.23;916890708.5;25810713.23;757414589.1;2357397.65;183869660.8;54047546.11;1858174958;8194626679
2041;25359859.39;942250567.9;25552846.84;782967435.9;2197638.42;186067299.3;53110344.65;1911285303;8247737024
2042;24840283.55;967090851.4;25294980.45;808262416.4;2037879.2;188105178.5;52173143.19;1963458446;8299910167
2043;24320707.71;991411559.1;25037114.05;833299530.4;1878119.98;189983298.4;51235941.74;2014694388;8351146109
2044;23801131.87;1015212691;24779247.66;858078778.1;1718360.76;191701659.2;50298740.28;2064993128;8401444849
2045;23281556.03;1038494247;24521381.27;882600159.3;1558601.53;193260260.7;49361538.82;2114354667;8450806388
2046;23178996.2;1061673243;24564937.58;907165096.9;1636958.74;194897219.5;49380892.53;2163735560;8500187280
2047;23076436.38;1084749680;24608493.9;931773590.8;1715315.96;196612535.4;49400246.23;2213135806;8549587527
2048;22973876.56;1107723556;24652050.21;956425641;1793673.17;198406208.6;49419599.94;2262555406;8599007127
2049;22871316.73;1130594873;24695606.53;981121247.6;1872030.38;200278239;49438953.64;2311994359;8648446080
2050;22768756.91;1153363630;24739162.85;1005860410;1950387.59;202228626.6;49458307.34;2361452667;8697904388
