ags,total_mega_km,rail_mega_km,metro_mega_km,bus_mega_km
DG000000,3311.9,664.0,309.0,2531.0
01001000,2.3,0.1,0.0,2.3
01002000,11.1,0.9,0.0,10.2
01003000,10.7,0.8,0.0,9.9
01004000,2.5,0.6,0.0,1.8
01051000,6.4,1.7,0.0,4.7
01053000,8.0,1.0,0.0,6.9
01054000,8.6,2.7,0.0,6.0
01055000,8.5,1.9,0.0,6.6
01056000,11.1,3.8,0.0,7.3
01057000,6.4,0.9,0.0,5.5
01058000,9.5,3.8,0.0,5.7
01059000,8.2,1.4,0.0,6.8
01060000,8.4,1.9,0.1,6.4
01061000,5.1,2.3,0.0,2.8
01062000,9.1,1.5,0.4,7.1
01000000,115.9,25.4,0.5,90.0
02000000,96.9,13.8,12.1,71.0
03101000,10.6,1.0,2.7,6.8
03102000,4.6,0.7,0.0,3.9
03103000,5.7,0.5,0.0,5.2
03151000,9.2,0.4,0.0,8.8
03153000,2.6,0.7,0.0,1.9
03154000,5.1,0.6,0.0,4.4
03155000,2.8,1.4,0.0,1.4
03156000,0.0,0.0,0.0,0.0
03157000,2.4,0.5,0.0,1.9
03158000,5.3,0.6,0.0,4.7
03159000,6.1,1.2,0.0,4.8
03152000,,,,
03241000,56.3,8.9,12.9,34.5
03251000,8.1,1.3,0.0,7.0
03252000,5.9,0.9,0.0,5.0
03254000,11.4,1.3,0.0,10.1
03255000,0.0,0.0,0.0,0.0
03256000,1.2,0.7,0.0,0.5
03257000,4.9,1.3,0.0,3.6
03351000,13.0,1.0,0.0,12.0
03352000,6.0,1.4,0.0,4.6
03353000,10.6,1.5,0.0,9.1
03354000,1.1,0.1,0.0,1.0
03355000,9.5,1.1,0.0,8.4
03356000,6.6,0.3,0.2,6.1
03357000,3.4,1.2,0.0,2.2
03358000,1.4,0.0,0.0,1.4
03359000,8.6,2.4,0.0,6.1
03360000,0.8,0.8,0.0,0.0
03361000,2.4,1.1,0.0,1.2
03401000,1.6,0.1,0.0,1.6
03402000,0.9,0.3,0.0,0.6
03403000,8.3,0.1,0.0,8.3
03404000,7.4,0.1,0.0,7.4
03405000,1.6,0.0,0.0,1.6
