ags,residential_buildings_total,buildings_1flat,buildings_2flats,buildings_3flats,buildings_dorms,residential_buildings_area_total
DG000000,19053216,12707978,3129233,3193736,22269,3753715
01000000,820540,647342,80399,92110,689,134987.2
01001000,17208,11449,961,4754,44,3877.4
01002000,37217,22805,2246,12051,115,9487.1
01003000,43473,28778,4069,10591,35,8552.6
01004000,19106,14192,1429,3463,22,3342
01051000,50290,42999,4310,2949,32,6993
01051001,1254,1043,130,79,2,173.8
01051002,72,54,12,6,-,12.1
01051003,256,231,20,5,-,32.5
01051004,352,320,28,4,-,47.8
01051005,72,63,5,4,-,10.2
01051006,322,287,26,9,-,42.4
01051008,19,16,3,-,-,1.9
01051010,82,73,7,2,-,10.5
01051011,4107,3402,245,457,3,648.6
01051012,376,333,35,8,-,51.3
01051013,2118,1651,191,274,2,343.9
01051014,214,180,24,10,-,26.6
01051015,292,253,24,15,-,43
01051016,1572,1301,155,115,1,218.6
01051017,124,112,9,3,-,16.3
01051019,260,212,34,14,-,38.9
01051020,299,263,27,9,-,42.3
01051021,290,272,11,7,-,36.9
01051022,266,252,13,1,-,33.9
01051023,244,212,27,5,-,36
01051024,541,487,38,16,-,71.8
01051026,305,273,26,6,-,43.8
01051027,345,309,30,6,-,44.1
01051028,283,249,26,8,-,38.6
01051030,101,93,7,1,-,15.2
01051032,157,144,11,1,1,20.4
01051033,26,23,2,1,-,4.2
01051034,1602,1477,98,27,-,162.9
01051035,68,60,8,-,-,8.9
01051036,39,29,10,-,-,6.6
01051037,189,167,17,5,-,25.7
01051038,39,33,4,2,-,6.2
01051039,159,140,17,2,-,20.6
01051040,-,-,-,-,-,-
01051043,104,95,6,3,-,14.1
01051044,6421,4955,624,830,12,974.6
01051045,74,69,2,3,-,9.7
01051046,359,335,20,4,-,44.1
01051047,210,181,20,9,-,30
01051048,1154,1020,97,36,1,141
01051049,827,741,52,33,1,107.4
01051050,39,36,3,-,-,5.5
01051051,460,423,32,5,-,59.9
01051052,20,17,2,1,-,3
01051053,125,104,17,4,-,17.9
01051054,36,30,6,-,-,5.5
01051057,156,143,12,1,-,19.2
01051058,54,52,-,2,-,8.8
01051060,184,171,12,1,-,24.8
01051061,246,217,24,5,-,31.5
01051062,359,330,22,7,-,47.1
01051063,203,178,23,2,-,27.3
01051064,257,236,13,8,-,32.9
01051065,464,423,33,8,-,60.1
01051067,127,110,9,8,-,16.7
01051068,323,277,38,8,-,45.7
01051069,800,674,78,48,-,114.2
01051071,572,468,57,46,1,80.1
01051072,2068,1773,178,115,2,285.1
01051073,150,139,6,5,-,19.6
01051074,2738,2349,208,179,2,355.8
01051075,390,345,33,12,-,51.1
01051076,285,268,13,4,-,36.5
01051077,43,39,4,-,-,5.6
01051078,454,413,33,8,-,63.8
01051079,188,175,11,2,-,25.1
01051080,50,42,4,4,-,7.5
01051081,105,96,8,1,-,15.4
01051082,1063,934,99,30,-,144.8
01051083,139,124,11,4,-,20.1
01051084,100,90,6,4,-,13.9
01051085,107,84,15,8,-,15.1
01051086,163,137,20,6,-,23.6
01051087,377,337,30,10,-,51.3
01051088,422,348,60,13,1,60.1
01051089,81,76,5,-,-,10
01051090,64,60,4,-,-,8.5
01051092,210,185,19,6,-,29
01051093,168,154,12,2,-,22.2
01051096,126,113,12,1,-,17.5
01051097,1336,1197,85,54,-,175
01051098,305,282,20,3,-,41.1
01051099,498,415,69,14,-,70.1
01051100,225,197,23,5,-,31.3
01051102,93,84,9,-,-,12.6
01051103,77,71,4,2,-,10
01051104,25,16,5,4,-,5.3
01051105,194,176,16,2,-,23.6
01051107,168,145,19,4,-,23.4
01051108,49,48,1,-,-,6.3
01051109,187,160,18,9,-,25.7
01051110,304,285,14,5,-,40.2
01051111,-,-,-,-,-,-
01051113,535,468,55,12,-,69.9
01051114,979,822,114,43,-,143.8
01051117,94,87,7,-,-,11.3
01051118,130,119,10,1,-,15.8
01051119,138,129,9,-,-,18.4
01051120,17,16,1,-,-,2.4
01051121,171,150,16,5,-,19.4
01051122,901,801,67,32,1,121
01051125,165,142,16,7,-,24.4
01051126,33,26,7,-,-,5.5
01051127,1189,1011,105,71,2,151.7
01051128,65,60,5,-,-,9.2
01051129,142,140,2,-,-,14.1
01051130,568,523,36,9,-,74.7
01051131,45,39,5,1,-,7.7
01051132,435,329,65,41,-,59.1
01051133,58,49,7,2,-,9.1
01051134,305,271,26,8,-,40.7
01051135,138,127,9,2,-,17.9
01051136,305,266,33,6,-,40.5
01051137,246,209,30,7,-,35.6
01051138,235,190,38,7,-,35.7
01051139,119,95,21,3,-,19.3
01051140,99,93,6,-,-,12.7
01051141,207,181,24,2,-,29.6
01053000,57435,46067,6050,5300,18,9088.9
01053001,33,28,5,-,-,4.6
01053002,282,227,43,12,-,43.8
01053003,971,744,127,100,-,174.8
01053004,340,281,45,13,1,50.6
01053005,81,67,6,8,-,13.7
01053006,262,226,21,15,-,33
01053007,162,134,21,7,-,23.6
01053008,134,112,16,6,-,20.9
01053009,647,530,84,33,-,93.4
01053010,32,27,5,-,-,4.5
01053011,219,169,40,9,1,31.1
01053012,1423,1168,169,86,-,218.6
01053013,107,88,17,2,-,15.6
01053014,628,503,80,45,-,91
01053015,116,100,12,4,-,16.8
01053016,81,74,5,2,-,8.5
01053017,234,200,21,13,-,34.4
01053018,84,68,12,4,-,13.5
01053019,57,44,10,3,-,8.9
01053020,1785,1445,169,171,-,273.6
01053021,59,52,7,-,-,8.1
01053022,145,124,19,2,-,18.1
01053023,1185,1020,125,40,-,176.5
01053024,56,44,10,2,-,7.7
01053025,168,123,37,8,-,27.5
01053026,148,122,20,6,-,22
01053027,248,199,30,19,-,41.2
01053028,1070,866,123,81,-,168.7
01053029,153,139,7,7,-,16.9
01053030,10,10,-,-,-,0.9
01053031,111,86,20,5,-,17.4
01053032,7124,5365,670,1086,3,1259
01053033,46,37,4,5,-,7.6
01053034,80,69,6,5,-,12.6
01053035,27,23,4,-,-,3.9
01053036,125,99,25,1,-,17.6
01053037,188,167,14,7,-,26.4
01053038,78,70,7,1,-,11.3
01053039,84,72,9,3,-,12.3
01053040,38,30,7,1,-,5.2
01053041,1417,1225,143,48,1,188.2
01053042,53,43,8,2,-,8
01053043,342,292,36,14,-,51.7
01053044,189,166,13,10,-,26.6
01053045,99,83,14,2,-,13.6
01053046,652,569,63,20,-,82.9
01053047,419,341,57,21,-,61.5
01053048,613,550,46,17,-,75.5
01053049,178,137,33,8,-,27.5
01053050,280,211,61,8,-,39.2
01053051,103,89,11,3,-,14.7
01053052,45,26,9,10,-,8.1
01053053,170,127,27,16,-,27.9
01053054,165,139,18,8,-,21.9
01053056,81,69,9,3,-,11.9
01053057,97,86,9,2,-,12.2
01053058,55,41,11,3,-,8
01053059,67,54,9,4,-,10.8
01053060,203,166,25,12,-,30
01053061,384,319,50,15,-,55.5
01053062,104,81,14,9,-,14.8
01053064,230,197,25,8,-,32.3
01053066,92,78,12,2,-,12.3
01053067,223,200,19,4,-,30.9
01053068,205,164,26,15,-,33.9
01053069,262,213,34,15,-,39.2
01053070,94,81,10,3,-,15.7
01053071,213,169,34,10,-,31.8
01053072,457,373,74,10,-,68.6
01053073,120,105,13,2,-,17
01053074,56,44,8,4,-,9
01053075,630,525,86,19,-,87.7
01053076,457,389,49,19,-,69.9
01053077,132,102,18,12,-,19.9
01053078,76,64,7,5,-,12.4
01053079,289,227,50,12,-,44.4
01053080,49,37,7,5,-,8.3
01053081,167,142,21,4,-,22.2
01053082,90,70,10,10,-,13.7
01053083,3084,2334,352,398,-,481.1
01053084,158,134,18,6,-,22.4
01053085,427,348,62,17,-,64.5
01053086,96,72,18,6,-,15.7
01053087,223,165,50,8,-,34
01053088,46,40,5,1,-,6.2
