ags,cows,cows_ch4e,cows_n2oe,cattle,cattle_ch4e,cattle_n2oe,pigs,pigs_ch4e,pigs_n2oe,poultry,poultry_ch4e,poultry_n2oe,other_animals,other_animals_ch4e,other_animals_n2oe,animal_wo_poultry_deposition_co2e,amount_sale_calcit,amount_sale_dolomite,amount_sale_kas,amount_sale_urea,drymass_ecrop,fertilizer_mineral_n2o,fertilizer_economy_n2o,sewage_sludge_n2o,fermentation_ecrop_n2o,pasturage_n2o,crop_residues_n2o,farmed_soil_n2o,farmed_soil_loss_organic_n2o,diffuse_nitrate_emissions_n2o,diffuse_emissions_n2o,farms
08000000,334100,7.96,0.24,622457.0,4.7,0.25,1698900.0,5.1,0.11,5618920,0.284385491869886,0.0107093030679343,342991.98894229106,0.2820890888234032,0.03580508606656619,89400,120000,15000,37000,39000,1719800,1587.55142857143,1199.21818987663,0.9120496,393.157754980818,225.615164954439,633.034422692386,158.70080036907,,886.590562388718,422.647775268398,39800
09000000,1154400,32.43,0.85,1919205.0,17.7,0.72,3195200.0,11.2,0.24,12527896,0.425982240457934,0.0221874269472831,407224.82728695,0.3349470372468176,0.04402555516141256,178800,774000,0,77000,57000,4569600,3394.9614285714297,3620.1373590899602,25.625348571428603,1044.6516509156202,363.09953346929,1536.70089355371,1002.67773416852,,2208.95247384086,1088.8701039023301,87040
11000000,1600,0,0,3900.0,0.03333333333333333,0,350.0,0,0,2134,0,0,2202.765827063759,0.0043574557510000006,0.0005877045457828431,0,11660,0,1660,6660,8330,105.19666666666666,5.237101637867332,0.17767337238095168,1.90977169403107,3.4961675498434004,1.3194993918899698,13.375950891310167,,26.03933009078253,10.118042974266166,277
12000000,148800,0.86,0.08,369901.0,1.6,0.13,751700.0,1.1,0.03,10315764,0.421354689968932,0.0144628394037631,108996.75353205284,0.08274412256304567,0.010445748398395998,29800,344000,0,16000,57000,1221100,1238.36428571429,612.091036840809,7.3215352099999995,280.031080835529,304.328724341837,405.145461724526,1271.89186213535,,607.372198194515,202.729576145659,5320
04000000,1600,0,0,3900.0,0.03333333333333333,0,350.0,0,0,2133,0,0,2202.765827063759,0.0043574557510000006,0.0005877045457828431,0,11660,0,1660,6660,8330,105.19666666666666,5.237101637867332,0.17767337238095168,1.90977169403107,3.4961675498434004,1.3194993918899698,13.375950891310167,,26.03933009078253,10.118042974266166,277
02000000,1600,0,0,3900.0,0.03333333333333333,0,350.0,0,0,2133,0,0,2202.765827063759,0.0043574557510000006,0.0005877045457828431,0,11660,0,1660,6660,8330,105.19666666666666,5.237101637867332,0.17767337238095168,1.90977169403107,3.4961675498434004,1.3194993918899698,13.375950891310167,,26.03933009078253,10.118042974266166,277
06000000,134400,2.3,0.09,292821.0,1.8,0.11,539400.0,1.6,0.04,2742364,0.0953828064181792,0.00383460133110355,170855.39706557916,0.14635503911861258,0.018411064820114037,29800,166000,13000,44000,11000,491000,1460.4228571428598,475.078945505571,20.4327687142857,112.324643354978,208.50564693171899,337.928456958335,53.9289060519901,,566.467804430285,161.156534348527,15910
13000000,164500,0.96,0.08,332490.0,1.3,0.11,832500.0,1.2,0.04,9775736,0.357946641931514,0.0128148593221613,94273.52950997642,0.06227383928097377,0.0075838873231491855,29800,304000,0,24000,157000,1485500,2492.47428571429,616.773569527964,16.8514028571429,340.60378785745996,277.73715402770097,642.302661952287,1275.05279347387,,956.642850517612,344.01879286488,4900
03000000,849200,19.48,0.44,1692648.0,14,0.51,8366500.0,33.1,0.49,93012585,2.94725565067256,0.108465107374594,278036.22710124636,0.28117121214522234,0.035398993894048256,268200,821000,25000,76000,156000,5055500,3932.78285714286,4131.06934512233,70.82234908571431,1156.10901977404,1128.37563436138,1275.7359258546098,3015.71326059732,,2507.26813590245,1120.7250451732,36980
05000000,409400,9.01,0.23,972163.0,8.6,0.34,6955800.0,26.6,0.41,13640776,0.506803578784092,0.0246052660246551,241808.93420630656,0.2518420989589482,0.031575584106210426,178800,508000,33000,53000,52000,1428400,2315.3742857142897,2173.5671066847,15.10739692,326.393579354334,600.49735586242,870.391179700469,245.206086943662,,1352.82134790686,502.91635513574295,31160
07000000,108200,2.22,0.07,224921.0,1.5,0.09,155500.0,0.5,0.01,1544454,0.0535222037999396,0.00215545657106764,107422.36537353083,0.07641665068168191,0.00926960853350667,29800,124000,10000,19000,17000,286500,796.792857142857,325.58555509988804,29.54134601,65.51472459052151,178.12917733937002,335.751095330892,10.9629537380271,,370.533612473178,121.7724078817,16760
10000000,13500,0.26,0.01,30715.0,0.2,0.01,2900.0,0,0,190006,0.00701748396785106,0.000255145083807982,11219.97112817668,0.016417206017562084,0.0020768630859937668,0,3000,4000,1000,2000,19800,51.7942857142857,40.009198079118995,1.97803257142857,4.53182117897527,26.8279301072495,17.731225530975397,2.16915729557656,,29.267283660654098,12.407598457466198,1140
14000000,177400,1.44,0.1,292093.0,1.2,0.1,669500.0,1.8,0.05,5446552,0.218007978628291,0.00763787224571761,98327.42345629788,0.05751756238281487,0.007414980310278159,29800,565000,6000,21000,29000,648500,965.58,598.907770348987,4.8862000000000005,148.603376674527,147.60787411990302,453.564637749217,19.1523324900745,,505.931265790603,139.78376425053298,6480
15000000,116400,0.91,0.07,208633.0,0.9,0.08,1125200.0,2.1,0.05,13186619,0.491978238196215,0.0174490715291812,95924.19977334188,0.04693510633901003,0.0059711665772374765,29800,324000,1000,22000,60000,1254300,1460.03,563.6037446487,7.60520985714286,287.731481034432,105.398994228521,595.2061691288269,569.366850557662,,668.242659972881,199.37274300137202,4410
01000000,385300,8.5,0.18,665070.0,4.6,0.19,1414300.0,5.2,0.09,3863507,0.12031197029848,0.00459914025742166,281567.229582351,0.16329379934005012,0.018494172954245953,59600,488000,12000,56000,100000,1805700,2617.67,1123.3862425341401,18.500349999999997,413.035063548342,608.5683244741989,393.900360334055,1204.52451433229,,1098.74229570331,458.132429971996,12460
16000000,100500,0.62,0.06,213534.0,1,0.08,738000.0,1.7,0.04,3328181,0.12010292903624,0.00447456478320762,174301.85556070798,0.07286662787038584,0.009679996184050702,29800,156000,1000,13000,21000,494100,889.381428571429,407.801759843776,2.18926902857143,113.25829043687,119.33094737049001,406.05030625895597,52.1247094583725,,423.711897863756,105.287235380429,3500
DG000000,4100900,86.95,2.5,7848351.0,59.20000000000001,2.72,26446450.0,91.2,1.6,175199760,6.050051904030115,0.23365065394189816,2419559,1.8879417580215279,0.23791582105255793,983400,4733000,120000,464000,777000,20505000,23518.770000000015,15917.063227869303,222.3062785428572,4691.6755896185405,4313.067984785995,7907.401294944916,8921.599814285715,29.0821218504627,12272.308658402126,4912.894149835263,266691
