ags,pv,wind_on,biomass,geothermal,water
01001000,14018.036,39710.0,0.0,0.0,3.5
01002000,9191.429,75.0,543.0,0.0,120.0
01003000,11174.909,14650.0,13137.5,0.0,75.0
01004000,12005.474,0.0,136.0,0.0,0.0
01051001,6404.125,23850.0,0.0,0.0,0.0
01051002,676.973,0.0,2494.0,0.0,0.0
01051003,887.028,11.0,0.0,0.0,0.0
01051004,2311.755,0.0,0.0,0.0,0.0
01051005,188.95,0.0,0.0,0.0,0.0
01051006,3228.042,60936.0,0.0,0.0,0.0
01051008,552.485,0.0,0.0,0.0,0.0
01051010,747.725,0.0,0.0,0.0,0.0
01051011,7422.834,182667.0,7467.0,0.0,0.0
01051012,1922.17,0.0,380.0,0.0,0.0
01051013,2257.377,0.0,400.0,0.0,0.0
01051014,321.516,0.0,0.0,0.0,0.0
01051015,1148.92,6.0,780.0,0.0,0.0
01051016,1591.889,0.0,0.0,0.0,0.0
01051017,14069.089,500.0,0.0,0.0,0.0
01051019,1704.021,6.0,0.0,0.0,0.0
01051020,1233.715,0.0,0.0,0.0,0.0
01051021,2141.592,20500.0,0.0,0.0,0.0
01051022,1279.796,26960.0,800.0,0.0,0.0
01051023,1396.12,0.0,0.0,0.0,0.0
01051024,1278.292,0.0,340.0,0.0,0.0
01051026,819.823,27520.0,0.0,0.0,0.0
01051027,9400.03,2600.0,0.0,0.0,0.0
01051028,7109.66,956.0,428.0,0.0,0.0
01051030,1216.3,0.0,0.0,0.0,0.0
01051032,1148.175,0.0,0.0,0.0,0.0
01051033,834.81,27300.0,0.0,0.0,0.0
01051034,7670.929,205325.0,0.0,0.0,0.0
01051035,141.31,0.0,0.0,0.0,0.0
01051036,1695.21,0.0,537.0,0.0,0.0
01051037,764.175,1.0,0.0,0.0,0.0
01051038,2693.455,0.0,0.0,0.0,0.0
01051039,654.855,0.0,0.0,0.0,0.0
01051043,127.685,53005.0,0.0,0.0,0.0
01051044,6129.098,669.5,0.0,0.0,0.0
01051045,1552.725,31490.0,0.0,0.0,0.0
